#Frame FCC BCC HCP ICO OTHER
0 2764800 0 0 0 0
1 2764800 0 0 0 0
2 2764800 0 0 0 0
3 2764800 0 0 0 0
4 2764773 0 0 0 27
5 2764800 0 0 0 0
6 2764800 0 0 0 0
7 2764800 0 0 0 0
8 2764800 0 0 0 0
9 2764800 0 0 0 0
10 2764800 0 0 0 0
11 2764800 0 0 0 0
12 2764800 0 0 0 0
13 2764800 0 0 0 0
14 2764800 0 0 0 0
15 2764800 0 0 0 0
16 2764800 0 0 0 0
17 2764773 0 0 0 27
18 2764800 0 0 0 0
19 2764719 0 0 0 81
20 2764773 0 0 0 27
21 2764530 0 0 0 270
22 2764557 0 0 0 243
23 2763936 0 0 0 864
24 2763801 0 0 0 999
25 2762937 0 0 0 1863
26 2761344 27 0 0 3429
27 2755755 54 0 0 8991
28 2723949 1296 5643 0 33912
29 2558277 11826 52866 0 141831
30 2126250 43092 217647 0 377811
31 1866348 70470 379782 0 448200
32 1948644 54432 385911 0 375813
33 2071251 37557 332559 0 323433
34 2150955 34290 284742 0 294813
35 2221263 27837 236439 0 279261
36 2270619 24003 211626 0 258552
37 2302560 19953 200988 0 241299
38 2338011 18603 182466 0 225720
39 2364660 16092 165969 0 218079
40 2391633 16011 149418 0 207738
