#Frame FCC BCC HCP ICO OTHER
0 102400 0 0 0 0
1 102400 0 0 0 0
2 102400 0 0 0 0
3 102400 0 0 0 0
4 102399 0 0 0 1
5 102400 0 0 0 0
6 102400 0 0 0 0
7 102400 0 0 0 0
8 102400 0 0 0 0
9 102400 0 0 0 0
10 102400 0 0 0 0
11 102400 0 0 0 0
12 102400 0 0 0 0
13 102400 0 0 0 0
14 102400 0 0 0 0
15 102400 0 0 0 0
16 102400 0 0 0 0
17 102399 0 0 0 1
18 102400 0 0 0 0
19 102397 0 0 0 3
20 102399 0 0 0 1
21 102390 0 0 0 10
22 102391 0 0 0 9
23 102368 0 0 0 32
24 102363 0 0 0 37
25 102331 0 0 0 69
26 102272 1 0 0 127
27 102065 2 0 0 333
28 100887 48 209 0 1256
29 94751 438 1958 0 5253
30 78750 1596 8061 0 13993
31 69124 2610 14066 0 16600
32 72172 2016 14293 0 13919
33 76713 1391 12317 0 11979
34 79665 1270 10546 0 10919
35 82269 1031 8757 0 10343
36 84097 889 7838 0 9576
37 85280 739 7444 0 8937
38 86593 689 6758 0 8360
39 87580 596 6147 0 8077
40 88579 593 5534 0 7694
