#Step 1/3<-1100> 1/3<11-20> 1/3<11-23> <-1100> <0001> other Total
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14000 289.47487179379124 0.0 0.0 0.0 0.0 110.63950660759502 400.11437840138626
14500 1671.7439642581257 22.788440958366607 0.0 0.0 0.0 1474.7777351986988 3169.3101404151894
15000 6199.48300624154 98.83062493176253 0.0 0.0 0.0 4251.022115728938 10549.335746902247
15500 7145.8804240034915 88.93907079288181 0.0 0.0 0.0 6993.855114908281 14228.674609704627
16000 5218.052780880442 19.61708449500264 0.0 0.0 0.0 6334.6204722095545 11572.290337585
16500 1929.8803924577387 0.0 0.0 0.0 0.0 7876.177872646364 9806.058265104099
17000 4469.546165204555 27.005506734284772 0.0 0.0 0.0 4614.635432205215 9111.187104144065
17500 3739.4273230935596 35.785951955114434 0.0 0.0 0.0 4196.213873013984 7971.427148062654
18000 3114.3252596581756 35.29565504155346 0.0 0.0 0.0 4343.4043038144855 7493.025218514209
18500 2747.4420974849286 18.125378031764733 0.0 0.0 0.0 4003.165064046698 6768.73253956339
19000 2565.3636056547757 23.48706055505498 0.0 0.0 0.0 3802.441687864261 6391.292354074099
19500 2450.450122908836 6.588514022940743 0.0 0.0 0.0 3563.659607181556 6020.698244113334
20000 1150.8224871457023 0.0 0.0 0.0 0.0 4746.149487739856 5896.97197488556
