#Step 1/2<110> 1/3<100> 1/3<111> 1/6<110> 1/6<112> other Total
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13000 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13500 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14000 0.0 0.0 0.0 32.67490142084509 367.4394769805412 0.0 400.11437840138626
14500 22.788440958366607 179.2317202016693 0.0 138.6629351713316 2823.7852839638 4.84176012002162 3169.3101404151894
15000 98.83062493176253 489.1076839393646 0.0 721.0534382887879 9202.723596082578 37.62040365975692 10549.335746902247
15500 88.93907079288181 861.9674389476864 7.123572860056527 1090.336564180273 11747.31125159414 432.99671132959827 14228.674609704627
16000 19.61708449500264 531.8077161350258 12.239075690089996 1399.8441594381188 9370.078719122483 238.70358270426576 11572.290337585
16500 16.941543395535533 461.57830886110526 0.0 1531.8322971667535 7660.4688268786795 135.2372888020311 9806.058265104099
17000 27.005506734284772 360.45298228677603 13.675458828239478 1497.2755881220958 7119.010232837415 93.7673353352463 9111.187104144065
17500 49.15513385931443 243.2831850550612 12.083901013838563 1564.425857604789 5966.671699383879 135.80737114577724 7971.427148062654
18000 35.29565504155346 321.50997041060543 15.542069039390606 1521.9301640203764 5520.924972872519 77.8223871297656 7493.025218514209
18500 18.125378031764733 173.81512966647563 0.0 1464.630379210085 5042.672277224684 69.48937543038089 6768.73253956339
19000 23.48706055505498 198.31113739852532 19.23807079016015 1439.897862558068 4628.618177027169 81.74004574511716 6391.292354074099
19500 6.588514022940743 163.10337681554816 13.052661096605235 1458.1759596046247 4355.093987671029 24.683744902583374 6020.698244113334
20000 6.506444198105735 116.93361288114757 8.978115587445215 1533.3120456323782 4181.406036363159 49.8357202233223 5896.97197488556
